month,product_group_id,product_group_name,market_revenue,revenue_amazon
2024-01-01,1,Portable Computers,14766072832.0,3440917760.0
2024-02-01,1,Portable Computers,14277839872.0,3067014656.0
2024-03-01,1,Portable Computers,15431513088.0,3594542848.0
2024-04-01,1,Portable Computers,12806660096.0,3144634368.0
2024-05-01,1,Portable Computers,14091326464.0,3608469504.0
2024-06-01,1,Portable Computers,10730754048.0,2701810688.0
2024-07-01,1,Portable Computers,13802546176.0,3563111680.0
2024-08-01,1,Portable Computers,11961133056.0,3031884288.0
2024-09-01,1,Portable Computers,11347162112.0,3136997632.0
2024-10-01,1,Portable Computers,11739056128.0,3136245248.0
2024-11-01,1,Portable Computers,14251820032.0,3106743040.0
2024-12-01,1,Portable Computers,11553680384.0,2992504320.0
2024-01-01,2,Cooling Systems,5954164224.0,551762432.0
2024-02-01,2,Cooling Systems,6459842560.0,560635840.0
2024-03-01,2,Cooling Systems,6443245056.0,524954080.0
2024-04-01,2,Cooling Systems,6573867520.0,573653888.0
2024-05-01,2,Cooling Systems,6545249792.0,544231936.0
2024-06-01,2,Cooling Systems,6644210688.0,445529312.0
2024-07-01,2,Cooling Systems,6127661056.0,495272192.0
2024-08-01,2,Cooling Systems,6422291456.0,482072960.0
2024-09-01,2,Cooling Systems,6256974848.0,510354944.0
2024-10-01,2,Cooling Systems,6348993024.0,494507264.0
2024-11-01,2,Cooling Systems,6322555904.0,464933888.0
2024-12-01,2,Cooling Systems,6274356224.0,487065536.0
2024-01-01,3,Frozen Storage Units,1227940608.0,148987504.0
2024-02-01,3,Frozen Storage Units,1370369280.0,133230248.0
2024-03-01,3,Frozen Storage Units,1250107520.0,157501248.0
2024-04-01,3,Frozen Storage Units,1418950656.0,165744432.0
2024-05-01,3,Frozen Storage Units,1589466368.0,170249376.0
2024-06-01,3,Frozen Storage Units,1649037824.0,149539456.0
2024-07-01,3,Frozen Storage Units,1823495680.0,178586672.0
2024-08-01,3,Frozen Storage Units,1584592896.0,171839696.0
2024-09-01,3,Frozen Storage Units,1515031168.0,174139616.0
2024-10-01,3,Frozen Storage Units,1539924096.0,138680160.0
2024-11-01,3,Frozen Storage Units,1366453248.0,153597520.0
